first_name,last_name,pose,team_name,hof,portrait,horizontal,lipset_number
Dick,Egan,,Cincinnati,FALSE,TRUE,FALSE,
Kid,Elberfeld,"New York, Portrait",N. Y. Amer.,FALSE,TRUE,FALSE,
Kid,Elberfeld,"Washington, Portrait",Washington,FALSE,TRUE,FALSE,
Kid,Elberfeld,Fielding,Washington,FALSE,FALSE,FALSE,
Roy,Ellam,,Nashville,FALSE,FALSE,FALSE,
Clyde,Engle,,N. Y. Amer.,FALSE,FALSE,FALSE,
Steve,Evans,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Johnny,Evers,Portrait,Chicago Nat'l.,TRUE,TRUE,FALSE,
Johnny,Evers,"With Bat, Cubs On Shirt",Chicago Nat'l.,TRUE,FALSE,FALSE,
Johnny,Evers,"With Bat, Chicago On Shirt",Chicago Nat'l.,TRUE,FALSE,FALSE,
Bob,Ewing,,Cincinnati,FALSE,FALSE,FALSE,
Cecil,Ferguson,,Boston Nat'l.,FALSE,FALSE,FALSE,
Hobe,Ferris,,St. Louis Amer.,FALSE,FALSE,FALSE,
Lou,Fiene,Portrait,Chicago Amer.,FALSE,TRUE,FALSE,
Lou,Fiene,Throwing,Chicago Amer.,FALSE,FALSE,FALSE,
Steamer,Flanagan,,Buffalo,FALSE,TRUE,FALSE,
Art,Fletcher,,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Elmer,Flick,,Cleveland,TRUE,FALSE,FALSE,
Russ,Ford,,N. Y. Amer.,FALSE,FALSE,FALSE,
Ed,Foster,,Charleston,FALSE,TRUE,FALSE,
Jerry,Freeman,,Toledo,FALSE,FALSE,FALSE,
John,Frill,,N. Y. Amer.,FALSE,FALSE,FALSE,
Charlie,Fritz,,New Orleans,FALSE,FALSE,FALSE,
Art,Fromme,,Cincinnati,FALSE,FALSE,FALSE,
Chick,Gandil,,Chicago Amer.,FALSE,FALSE,FALSE,
Bob,Ganley,,Washington,FALSE,FALSE,FALSE,
John,Ganzel,,Rochester,FALSE,FALSE,FALSE,
Harry,Gasper,,Cincinnati,FALSE,FALSE,FALSE,
Rube,Geyer,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
George,Gibson,,Pittsburgh,FALSE,TRUE,FALSE,
Billy,Gilbert,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Wilbur,Goode,,Cleveland,FALSE,FALSE,FALSE,
Bill,Graham,,St. Louis Amer.,FALSE,FALSE,FALSE,
Peaches,Graham,,Boston Nat'l.,FALSE,FALSE,FALSE,
Dolly,Gray,,Washington,FALSE,FALSE,FALSE,
Ed,Greminger,,Montgomery,FALSE,TRUE,FALSE,
Clark,Griffith,Portrait,Cincinnati,TRUE,TRUE,FALSE,
Clark,Griffith,Batting,Cincinnati,TRUE,FALSE,FALSE,
Moose,Grimshaw,,Toronto,FALSE,TRUE,FALSE,
Bob,Groom,,Washington,FALSE,FALSE,FALSE,
Tom,Guiheen,,Portsmouth,FALSE,TRUE,FALSE,
Ed,Hahn,,Chicago Amer.,FALSE,FALSE,FALSE,
Bob,Hall,,Baltimore,FALSE,TRUE,FALSE,
Bill,Hallman,,Kansas City,FALSE,TRUE,FALSE,
Jack,Hannifan,,Jersey City,FALSE,FALSE,FALSE,
Bill,Hart,,Little Rock,FALSE,TRUE,FALSE,
Jimmy,Hart,,Montgomery,FALSE,FALSE,FALSE,
Topsy,Hartsel,,Phila. Amer.,FALSE,FALSE,FALSE,
Jack,Hayden,,Indianapolis,FALSE,FALSE,FALSE,
J. Ross,Helm,,Columbus,FALSE,TRUE,FALSE,
Charlie,Hemphill,,N. Y. Amer.,FALSE,FALSE,FALSE,
Buck,Herzog,New York,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Buck,Herzog,Boston,Boston Nat'l.,FALSE,FALSE,FALSE,
Gordon,Hickman,,Mobile,FALSE,TRUE,FALSE,
Harry,Hinchman,,Toledo,FALSE,TRUE,FALSE,
Bill,Hinchman,,Cleveland,FALSE,FALSE,FALSE,
Dick,Hoblitzell,,Cincinnati,FALSE,FALSE,FALSE,
Izzy,Hoffman,,Providence,FALSE,TRUE,FALSE,
Danny,Hoffman,,St. Louis Amer.,FALSE,FALSE,FALSE,
Solly,Hofman,,Chicago Nat'l.,FALSE,FALSE,FALSE,
Bock,Hooker,,Lynchburg,FALSE,TRUE,FALSE,
Del,Howard,,Chicago Nat'l.,FALSE,FALSE,FALSE,
Ernie,Howard,,Savannah,FALSE,FALSE,FALSE,
Harry,Howell,Portrait,St. Louis Amer.,FALSE,TRUE,FALSE,
Harry,Howell,Hand At Waist,St. Louis Amer.,FALSE,FALSE,FALSE,
Miller,Huggins,Portrait,Cincinnati,TRUE,TRUE,FALSE,
Miller,Huggins,Hands At Mouth,Cincinnati,TRUE,FALSE,FALSE,
Rudy,Hulswitt,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
John,Hummel,,Brooklyn,FALSE,FALSE,FALSE,
George,Hunter,,Brooklyn,FALSE,FALSE,FALSE,
Frank,Isbell,,Chicago Amer.,FALSE,FALSE,FALSE,
Fred,Jacklitsch,,Phila. Nat'l.,FALSE,FALSE,FALSE,
Jimmy,Jackson,,Baltimore,FALSE,TRUE,FALSE,
Hughie,Jennings,Portrait,Detroit,TRUE,TRUE,FALSE,
Hughie,Jennings,One Hand Showing,Detroit,TRUE,FALSE,FALSE,
Hughie,Jennings,Both Hands Showing,Detroit,TRUE,FALSE,FALSE,
Walter,Johnson,Portrait,Washington,TRUE,TRUE,FALSE,
Walter,Johnson,Hands At Chest,Washington,TRUE,FALSE,FALSE,
Fielder,Jones,Portrait,Chicago Amer.,FALSE,TRUE,FALSE,
Davy,Jones,,Detroit,FALSE,FALSE,FALSE,
Fielder,Jones,Hands on Hips,Chicago Amer.,FALSE,FALSE,FALSE,
Tom,Jones,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Tim,Jordan,Portrait,Brooklyn,FALSE,TRUE,FALSE,
Dutch,Jordan,,Atlanta,FALSE,FALSE,FALSE,
Tim,Jordan,Batting,Brooklyn,FALSE,FALSE,FALSE,
Addie,Joss,Portrait,Cleveland,TRUE,TRUE,FALSE,
Addie,Joss,Pitching,Cleveland,TRUE,FALSE,FALSE,
Ed,Karger,,Cincinnati,FALSE,FALSE,FALSE,
Willie,Keeler,Portrait,N. Y. Amer.,TRUE,TRUE,FALSE,
Willie,Keeler,With Bat,N. Y. Amer.,TRUE,FALSE,FALSE,
Joe,Kelley,,Toronto,TRUE,FALSE,FALSE,
J.F.,Kiernan,,Columbia,FALSE,TRUE,FALSE,
Ed,Killian,Portrait,Detroit,FALSE,TRUE,FALSE,
Ed,Killian,Pitching,Detroit,FALSE,FALSE,FALSE,
Frank,King,,Danville,FALSE,TRUE,FALSE,
Rube,Kisinger,,Buffalo,FALSE,FALSE,FALSE,
Red,Kleinow,With Bat,N. Y. Amer.,FALSE,FALSE,FALSE,
Red,Kleinow,"New York, Catching",N. Y. Amer.,FALSE,FALSE,FALSE,
Red,Kleinow,Boston,Boston,FALSE,FALSE,FALSE,
Johnny,Kling,,Chicago Nat'l.,FALSE,TRUE,FALSE,
Otto,Knabe,,Phila. Nat'l.,FALSE,FALSE,FALSE,
Jack,Knight,Portrait,N. Y. Amer.,FALSE,TRUE,FALSE,
Jack,Knight,With Bat,N. Y. Amer.,FALSE,FALSE,FALSE,
Ed,Konetchy,Glove Above Head,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Ed,Konetchy,Glove Near Ground,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Harry,Krause,Portrait,Phila. Amer.,FALSE,TRUE,FALSE,
Harry,Krause,Pitching,Phila. Amer.,FALSE,FALSE,FALSE,
Rube,Kroh,,Chicago Nat'l.,FALSE,FALSE,FALSE,
Otto,Kruger,,Columbus,FALSE,TRUE,FALSE,
James,LaFitte,,Macon,FALSE,FALSE,FALSE,
Nap,Lajoie,Portrait,Cleveland,TRUE,TRUE,FALSE,
Nap,Lajoie,Throwing,Cleveland,TRUE,FALSE,FALSE,
Nap,Lajoie,With Bat,Cleveland,TRUE,FALSE,FALSE,
Joe,Lake,New York,N. Y. Amer.,FALSE,FALSE,FALSE,
Joe,Lake,"St. Louis, No Ball",St. Louis Amer.,FALSE,FALSE,FALSE,
Joe,Lake,Ball in Hand,St. Louis Amer.,FALSE,FALSE,FALSE,
Frank,LaPorte,,N. Y. Amer.,FALSE,FALSE,FALSE,
Arlie,Latham,,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Bill,Lattimore,,Toledo,FALSE,FALSE,FALSE,
Jimmy,Lavender,,Providence,FALSE,FALSE,FALSE,
Tommy,Leach,Portrait,Pittsburgh,FALSE,TRUE,FALSE,
Tommy,Leach,Bending Over,Pittsburgh,FALSE,FALSE,FALSE,
Lefty,Leifield,Pitching,Pittsburgh,FALSE,FALSE,FALSE,
Lefty,Leifield,Batting,Pittsburgh,FALSE,FALSE,FALSE,
Ed,Lennox,,Brooklyn,FALSE,FALSE,FALSE,
Harry,Lentz,,Little Rock,FALSE,TRUE,FALSE,
Glenn,Liebhardt,,Cleveland,FALSE,FALSE,FALSE,
Vive,Lindaman,,Boston Nat'l.,FALSE,FALSE,FALSE,
Perry,Lipe,,Richmond,FALSE,TRUE,FALSE,
Paddy,Livingstone,,Phila. Amer.,FALSE,FALSE,FALSE,
Hans,Lobert,,Cincinnati,FALSE,TRUE,FALSE,
Harry,Lord,,Boston Amer.,FALSE,FALSE,FALSE,
Harry,Lumley,,Brooklyn,FALSE,TRUE,FALSE,
Carl,Lundgren,Chicago,Chicago Nat'l.,FALSE,FALSE,FALSE,
Carl,Lundgren,Kansas City,Kansas City,FALSE,FALSE,FALSE,
Nick,Maddox,,Pittsburgh,FALSE,FALSE,FALSE,
Sherry,Magee,Portrait,Phila. Nat'l.,FALSE,TRUE,FALSE,
Sherry,Magee,With Bat,Phila. Nat'l.,FALSE,FALSE,FALSE,
Sherry,Magie,Magee,Phila. Nat'l.,FALSE,TRUE,FALSE,
Bill,Malarkey,,Buffalo,FALSE,TRUE,FALSE,
Billy,Maloney,,Rochester,FALSE,FALSE,FALSE,
George,Manion,,Columbia,FALSE,TRUE,FALSE,
Rube,Manning,Batting,N. Y. Amer.,FALSE,FALSE,FALSE,
Rube,Manning,Pitching,N. Y. Amer.,FALSE,FALSE,FALSE,
Rube,Marquard,Portrait,N. Y. Nat'l.,TRUE,TRUE,FALSE,
Rube,Marquard,Hands At Thighs,N. Y. Nat'l.,TRUE,FALSE,FALSE,
Rube,Marquard,Follow Through,N. Y. Nat'l.,TRUE,FALSE,FALSE,
Doc,Marshall,,Brooklyn,FALSE,FALSE,FALSE,
Christy,Mathewson,Portrait,N. Y. Nat'l.,TRUE,TRUE,FALSE,
Christy,Mathewson,White Cap,N. Y. Nat'l.,TRUE,FALSE,FALSE,
Christy,Mathewson,Dark Cap,N. Y. Nat'l.,TRUE,FALSE,FALSE,
Al,Mattern,,Boston Nat'l.,FALSE,TRUE,FALSE,
John,McAleese,,St. Louis Amer.,FALSE,FALSE,FALSE,
George,McBride,,Washington,FALSE,FALSE,FALSE,
Pat,McCauley,,Portsmouth,FALSE,TRUE,FALSE,
Moose,McCormick,,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Pryor,McElveen,,Brooklyn,FALSE,FALSE,FALSE,
Dan,McgGann,,Milwaukee,FALSE,TRUE,FALSE,
Jim,McGinley,,Toronto,FALSE,TRUE,FALSE,
Joe,McGinnity,,Newark,TRUE,FALSE,FALSE,
Stoney,McGlynn,,Milwaukee,FALSE,TRUE,FALSE,
John,McGraw,"Portrait, No Cap",N. Y. Nat'l.,TRUE,TRUE,FALSE,
John,McGraw,"Portrait, With Cap",N. Y. Nat'l.,TRUE,TRUE,FALSE,
John,McGraw,Finger In Air,N. Y. Nat'l.,TRUE,FALSE,FALSE,
John,McGraw,Glove At Hip,N. Y. Nat'l.,TRUE,FALSE,FALSE,
Matty,McIntyre,Detroit,Detroit,FALSE,TRUE,FALSE,
Harry,McIntyre,Brooklyn,Brooklyn,FALSE,FALSE,FALSE,
Harry,McIntyre,Brooklyn & Chicago,Brklyn & Chic,FALSE,FALSE,FALSE,
Larry,McLean,,Cincinnati,FALSE,FALSE,FALSE,
George,McQuillan,Ball In Hand,Phila. Nat'l.,FALSE,FALSE,FALSE,
George,McQuillan,With Bat,Phila. Nat'l.,FALSE,FALSE,FALSE,
Fred,Merkle,Portrait,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Fred,Merkle,Throwing,N. Y. Nat'l.,FALSE,FALSE,FALSE,
George,Merritt,,Jersey City,FALSE,TRUE,FALSE,
Chief,Meyers,,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Clyde,Milan,,Washington,FALSE,FALSE,FALSE,
Dots,Miller,,Pittsburgh,FALSE,FALSE,FALSE,
Molly,Miller,,Dallas,FALSE,FALSE,FALSE,
Bill,Milligan,,Jersey City,FALSE,TRUE,FALSE,
Fred,Mitchell,,Toronto,FALSE,TRUE,FALSE,
Mike,Mitchell,,Cincinnati,FALSE,FALSE,FALSE,
Dan,Moeller,,Jersey City,FALSE,TRUE,FALSE,
Carlton,Molesworth,,Birmingham,FALSE,FALSE,FALSE,
Herbie,Moran,,Providence,FALSE,TRUE,FALSE,
Pat,Moran,,Chicago Nat'l.,FALSE,FALSE,FALSE,
George,Moriarty,,Detroit,FALSE,FALSE,FALSE,
Mike,Mowrey,,Cincinnati,FALSE,FALSE,FALSE,
Dom,Mullaney,,Jacksonville,FALSE,FALSE,FALSE,
George,Mullen,,Detroit,FALSE,TRUE,FALSE,
George,Mullin,With Bat,Detroit,FALSE,FALSE,FALSE,
George,Mullin,Throwing,Detroit,FALSE,FALSE,TRUE,
Danny,Murphy,Batting,Phila. Amer.,FALSE,FALSE,FALSE,
Danny,Murphy,Throwing,Phila. Amer.,FALSE,FALSE,TRUE,
Red,Murray,Portrait,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Red,Murray,Batting,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Chief,Myers,Batting,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Chief,Myers,Fielding,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Billy,Nattress,,Buffalo,FALSE,TRUE,FALSE,
Tom,Needham,,Chicago Nat'l.,FALSE,FALSE,FALSE,
Simon,Nicholls,Hands On Knees,Phila. Amer.,FALSE,FALSE,FALSE,
Simon,Nichols,Batting,Phila. Amer.,FALSE,FALSE,FALSE,
Harry,Niles,,Boston Amer.,FALSE,FALSE,FALSE,
Peter,O'Brien,,St. Paul,FALSE,FALSE,FALSE,
Bill,O'Hara,New York,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Bill,O'Hara,St. Louis,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Charley,O'Leary,Portrait,Detroit,FALSE,TRUE,FALSE,
Charley,O'Leary,Hands On Knees,Detroit,FALSE,FALSE,FALSE,
William J.,O'Neil,,Minneapolis,FALSE,TRUE,FALSE,
Rebel,Oakes,,Cincinnati,FALSE,FALSE,FALSE,
Frank,Oberlin,,Minneapolis,FALSE,FALSE,FALSE,
Rube,Oldring,Fielding,Phila. Amer.,FALSE,FALSE,FALSE,
Rube,Oldring,Batting,Phila. Amer.,FALSE,FALSE,FALSE,
Al,Orth,,Lynchburg,FALSE,FALSE,FALSE,
William,Otey,,Norfolk,FALSE,TRUE,FALSE,
Orval,Overall,Portrait,Chicago Nat'l.,FALSE,TRUE,FALSE,
Orval,Overall,Hand Face Level,Chicago Nat'l.,FALSE,FALSE,FALSE,
Orval,Overall,Hands Waist Level,Chicago Nat'l.,FALSE,FALSE,FALSE,
Frank,Owen,,Chicago Amer.,FALSE,FALSE,FALSE,
George,Paige,,Charleston,FALSE,TRUE,FALSE,
Fred,Parent,,Chicago Amer.,FALSE,TRUE,FALSE,
Dode,Paskert,,Cincinnati,FALSE,FALSE,FALSE,
Jim,Pastorius,,Brooklyn,FALSE,FALSE,FALSE,
Harry,Pattee,,Brooklyn,FALSE,FALSE,TRUE,
Fred,Payne,,Chicago Amer.,FALSE,FALSE,FALSE,
Barney,Pelty,Vertical,St. Louis Amer.,FALSE,FALSE,FALSE,
