first_name,last_name,pose,city,league
Nick,Maddox,,Pittsburgh,National
Sherry,Magee,Portrait,Philadelphia,National
Sherry,Magee,With Bat,Philadelphia,National
Sherry,Magie,Magee,Philadelphia,National
Bill,Malarkey,,Buffalo,Minor
Billy,Maloney,,Rochester,Minor
George,Manion,,Columbia,Southern
Rube,Manning,Batting,New York,American
Rube,Manning,Pitching,New York,American
Rube,Marquard,Portrait,New York,National
Rube,Marquard,Hands At Thighs,New York,National
Rube,Marquard,Follow Through,New York,National
Doc,Marshall,,Brooklyn,National
Christy,Mathewson,Portrait,New York,National
Christy,Mathewson,White Cap,New York,National
Christy,Mathewson,Dark Cap,New York,National
Al,Mattern,,Boston,National
John,McAleese,,St. Louis,American
George,McBride,,Washington,American
Pat,McCauley,,Portsmouth,Southern
Moose,McCormick,,New York,National
Pryor,McElveen,,Brooklyn,National
Dan,McgGann,,Milwaukee,Minor
Jim,McGinley,,Toronto,Minor
Joe,McGinnity,,Newark,Minor
Stoney,McGlynn,,Milwaukee,Minor
John,McGraw,"Portrait, No Cap",New York,National
John,McGraw,"Portrait, With Cap",New York,National
John,McGraw,Finger In Air,New York,National
John,McGraw,Glove At Hip,New York,National
Harry,McIntyre,Brooklyn & Chicago,Chicago,National
Harry,McIntyre,Brooklyn & Chicago,Brooklyn,National
Harry,McIntyre,Brooklyn,Brooklyn,National
Matty,McIntyre,Detroit,Detroit,American
Larry,McLean,,Cincinnati,National
George,McQuillan,Ball In Hand,Philadelphia,National
George,McQuillan,With Bat,Philadelphia,National
Fred,Merkle,Portrait,New York,National
Fred,Merkle,Throwing,New York,National
George,Merritt,,Jersey City,Minor
Chief,Meyers,,New York,National
Clyde,Milan,,Washington,American
Molly,Miller,,Dallas,Southern
Dots,Miller,,Pittsburgh,National
Bill,Milligan,,Jersey City,Minor
Mike,Mitchell,,Cincinnati,National
Fred,Mitchell,,Toronto,Minor
Dan,Moeller,,Jersey City,Minor
Carlton,Molesworth,,Birmingham,Southern
Pat,Moran,,Chicago,National
Herbie,Moran,,Providence,Minor
